tanggal,curah_hujan,lokasi
2021-01-30,13.93,Bima Tengah
2021-01-31,24.68,Bima Timur
2021-02-01,28.51,Bima Tengah
2021-02-02,10.28,Bima Barat
2021-02-03,0.6,Bima Barat
2021-02-04,10.56,Bima Timur
2021-02-05,22.25,Bima Barat
2021-02-06,16.47,Bima Timur
2021-02-07,25.32,Bima Barat
2021-02-08,37.38,Bima Barat
2021-02-09,14.7,Bima Barat
2021-02-10,11.57,Bima Timur
2021-02-11,7.65,Bima Timur
2021-02-12,4.49,Bima Tengah
2021-02-13,3.31,Bima Timur
2021-02-14,9.44,Bima Barat
2021-02-15,34.02,Bima Barat
2021-02-16,27.04,Bima Timur
2021-02-17,11.13,Bima Timur
2021-02-18,62.91,Bima Timur
2021-02-19,10.01,Bima Tengah
2021-02-20,39.75,Bima Barat
2021-02-21,46.05,Bima Tengah
2021-02-22,23.34,Bima Tengah
2021-02-23,9.36,Bima Barat
2021-02-24,12.38,Bima Barat
2021-02-25,19.17,Bima Timur
2021-02-26,4.62,Bima Timur
2021-02-27,7.01,Bima Tengah
2021-02-28,6.48,Bima Timur
2021-03-01,24.6,Bima Timur
2021-03-02,37.14,Bima Barat
2021-03-03,27.78,Bima Barat
2021-03-04,33.12,Bima Timur
2021-03-05,8.68,Bima Barat
2021-03-06,12.84,Bima Timur
2021-03-07,13.63,Bima Barat
2021-03-08,23.27,Bima Barat
2021-03-09,9.66,Bima Barat
2021-03-10,31.74,Bima Barat
2021-03-11,45.21,Bima Timur
2021-03-12,24.12,Bima Tengah
2021-03-13,12.39,Bima Barat
2021-03-14,8.01,Bima Timur
2021-03-15,6.49,Bima Timur
2021-03-16,1.99,Bima Barat
2021-03-17,13.97,Bima Tengah
2021-03-18,13.34,Bima Barat
2021-03-19,30.43,Bima Timur
2021-03-20,10.22,Bima Tengah
2021-03-21,14.6,Bima Timur
2021-03-22,20.59,Bima Barat
2021-03-23,23.84,Bima Tengah
2021-03-24,28.07,Bima Timur
2021-03-25,19.11,Bima Timur
2021-03-26,4.9,Bima Timur
2021-03-27,22.38,Bima Barat
2021-03-28,9.59,Bima Tengah
2021-03-29,38.31,Bima Barat
2021-03-30,16.94,Bima Barat
2021-03-31,19.97,Bima Barat
2021-04-01,77.87,Bima Tengah
2021-04-02,28.41,Bima Barat
2021-04-03,22.09,Bima Barat
2021-04-04,14.94,Bima Barat
2021-04-05,5.33,Bima Barat
2021-04-06,14.11,Bima Timur
2021-04-07,7.92,Bima Barat
2021-04-08,48.86,Bima Timur
2021-04-09,22.3,Bima Barat
2021-04-10,37.38,Bima Tengah
2021-04-11,9.97,Bima Timur
2021-04-12,8.45,Bima Timur
2021-04-13,26.51,Bima Timur
2021-04-14,7.63,Bima Timur
2021-04-15,11.63,Bima Tengah
2021-04-16,50.38,Bima Barat
2021-04-17,12.02,Bima Timur
2021-04-18,4.24,Bima Tengah
2021-04-19,2.7,Bima Timur
2021-04-20,3.71,Bima Barat
2021-04-21,38.86,Bima Timur
2021-04-22,10.51,Bima Tengah
2021-04-23,76.31,Bima Barat
2021-04-24,45.55,Bima Tengah
2021-04-25,58.3,Bima Barat
2021-04-26,33.69,Bima Barat
2021-04-27,25.55,Bima Barat
2021-04-28,8.18,Bima Timur
2021-04-29,16.62,Bima Tengah
2021-04-30,27.37,Bima Tengah
2021-05-01,32.29,Bima Tengah
2021-05-02,5.85,Bima Barat
2021-05-03,14.29,Bima Timur
2021-05-04,15.62,Bima Barat
2021-05-05,15.14,Bima Tengah
2021-05-06,6.63,Bima Timur
2021-05-07,53.89,Bima Timur
2021-05-08,13.91,Bima Timur
2021-05-09,7.1,Bima Tengah
2021-05-10,54.76,Bima Timur
2021-05-11,45.58,Bima Timur
2021-05-12,18.55,Bima Barat
2021-05-13,11.35,Bima Barat
2021-05-14,3.39,Bima Timur
2021-05-15,24.22,Bima Timur
2021-05-16,10.69,Bima Barat
2021-05-17,16.31,Bima Barat
2021-05-18,51.61,Bima Barat
2021-05-19,10.04,Bima Tengah
2021-05-20,23.48,Bima Tengah
2021-05-21,28.64,Bima Barat
2021-05-22,38.05,Bima Timur
2021-05-23,15.41,Bima Barat
2021-05-24,14.17,Bima Tengah
2021-05-25,13.91,Bima Timur
2021-05-26,21.87,Bima Tengah
2021-05-27,44.32,Bima Timur
2021-05-28,13.41,Bima Tengah
2021-05-29,0.87,Bima Timur
2021-05-30,30.88,Bima Timur
2021-05-31,17.55,Bima Timur
2021-06-01,24.25,Bima Timur
2021-06-02,3.54,Bima Tengah
2021-06-03,10.73,Bima Tengah
2021-06-04,29.17,Bima Timur
2021-06-05,5.15,Bima Timur
2021-06-06,23.44,Bima Tengah
2021-06-07,16.21,Bima Timur
2021-06-08,8.87,Bima Timur
2021-06-09,8.24,Bima Timur
2021-06-10,6.69,Bima Barat
2021-06-11,17.48,Bima Timur
2021-06-12,19.05,Bima Barat
2021-06-13,12.36,Bima Timur
2021-06-14,6.3,Bima Tengah
2021-06-15,22.96,Bima Barat
2021-06-16,31.27,Bima Barat
2021-06-17,26.01,Bima Timur
2021-06-18,59.84,Bima Timur
2021-06-19,14.42,Bima Barat
2021-06-20,41.46,Bima Tengah
2021-06-21,9.64,Bima Tengah
2021-06-22,8.33,Bima Timur
2021-06-23,18.3,Bima Tengah
2021-06-24,47.67,Bima Tengah
2021-06-25,13.18,Bima Timur
2021-06-26,3.54,Bima Tengah
2021-06-27,30.86,Bima Timur
2021-06-28,15.68,Bima Barat
2021-06-29,20.83,Bima Timur
2021-06-30,8.72,Bima Barat
2021-07-01,18.17,Bima Barat
2021-07-02,4.14,Bima Tengah
2021-07-03,54.43,Bima Tengah
2021-07-04,34.86,Bima Tengah
2021-07-05,17.56,Bima Timur
2021-07-06,30.28,Bima Tengah
2021-07-07,9.66,Bima Barat
2021-07-08,33.81,Bima Tengah
2021-07-09,12.71,Bima Tengah
2021-07-10,11.98,Bima Timur
2021-07-11,7.13,Bima Timur
2021-07-12,22.76,Bima Barat
2021-07-13,16.98,Bima Timur
2021-07-14,42.35,Bima Tengah
2021-07-15,6.37,Bima Timur
2021-07-16,22.83,Bima Barat
2021-07-17,37.18,Bima Tengah
2021-07-18,19.3,Bima Barat
2021-07-19,12.51,Bima Timur
2021-07-20,18.94,Bima Timur
2021-07-21,40.12,Bima Barat
2021-07-22,40.11,Bima Tengah
2021-07-23,15.19,Bima Timur
2021-07-24,39.64,Bima Timur
2021-07-25,16.37,Bima Tengah
2021-07-26,30.04,Bima Timur
2021-07-27,24.77,Bima Barat
2021-07-28,12.1,Bima Timur
2021-07-29,7.37,Bima Timur
2021-07-30,37.84,Bima Tengah
2021-07-31,45.03,Bima Barat
2021-08-01,22.44,Bima Tengah
2021-08-02,16.36,Bima Timur
2021-08-03,5.61,Bima Timur
2021-08-04,37.18,Bima Tengah
2021-08-05,20.6,Bima Tengah
2021-08-06,13.54,Bima Tengah
2021-08-07,30.64,Bima Barat
2021-08-08,4.63,Bima Timur
2021-08-09,6.8,Bima Tengah
2021-08-10,9.36,Bima Timur
2021-08-11,24.22,Bima Barat
2021-08-12,19.09,Bima Barat
2021-08-13,26.28,Bima Barat
2021-08-14,35.49,Bima Barat
2021-08-15,26.94,Bima Timur
2021-08-16,55.19,Bima Barat
2021-08-17,35.43,Bima Barat
2021-08-18,15.16,Bima Tengah
2021-08-19,10.67,Bima Barat
2021-08-20,15.52,Bima Tengah
2021-08-21,27.61,Bima Barat
2021-08-22,11.65,Bima Barat
2021-08-23,28.14,Bima Tengah
2021-08-24,25.94,Bima Barat
2021-08-25,7.27,Bima Timur
2021-08-26,34.99,Bima Timur
2021-08-27,21.87,Bima Barat
2021-08-28,53.44,Bima Timur
2021-08-29,16.42,Bima Tengah
2021-08-30,13.05,Bima Barat
2021-08-31,6.43,Bima Barat
2021-09-01,6.33,Bima Tengah
2021-09-02,32.19,Bima Tengah
2021-09-03,49.94,Bima Tengah
2021-09-04,15.35,Bima Barat
2021-09-05,14.58,Bima Tengah
2021-09-06,17.59,Bima Tengah
2021-09-07,36.62,Bima Timur
2021-09-08,7.33,Bima Timur
2021-09-09,19.94,Bima Barat
2021-09-10,32.69,Bima Timur
2021-09-11,24.01,Bima Timur
2021-09-12,0.46,Bima Tengah
2021-09-13,27.04,Bima Tengah
2021-09-14,24.18,Bima Timur
2021-09-15,41.43,Bima Timur
2021-09-16,47.35,Bima Timur
2021-09-17,40.06,Bima Barat
2021-09-18,17.66,Bima Barat
2021-09-19,3.36,Bima Barat
2021-09-20,14.5,Bima Timur
2021-09-21,17.24,Bima Timur
2021-09-22,49.52,Bima Barat
2021-09-23,8.8,Bima Barat
2021-09-24,4.77,Bima Timur
2021-09-25,11.72,Bima Tengah
2021-09-26,9.23,Bima Barat
2021-09-27,4.31,Bima Timur
2021-09-28,15.62,Bima Timur
2021-09-29,17.75,Bima Tengah
2021-09-30,4.04,Bima Timur
2021-10-01,12.99,Bima Timur
2021-10-02,8.72,Bima Barat
2021-10-03,18.2,Bima Barat
2021-10-04,19.57,Bima Tengah
2021-10-05,8.72,Bima Tengah
2021-10-06,34.77,Bima Timur
2021-10-07,16.94,Bima Barat
2021-10-08,9.09,Bima Tengah
2021-10-09,3.77,Bima Tengah
2021-10-10,20.36,Bima Tengah
2021-10-11,24.13,Bima Timur
2021-10-12,11.18,Bima Barat
2021-10-13,18.63,Bima Tengah
2021-10-14,47.35,Bima Barat
2021-10-15,31.13,Bima Tengah
2021-10-16,1.46,Bima Tengah
2021-10-17,9.0,Bima Barat
2021-10-18,15.03,Bima Barat
2021-10-19,17.68,Bima Barat
2021-10-20,18.94,Bima Timur
2021-10-21,23.05,Bima Tengah
2021-10-22,15.43,Bima Timur
2021-10-23,16.91,Bima Barat
2021-10-24,32.25,Bima Tengah
2021-10-25,20.66,Bima Timur
2021-10-26,5.83,Bima Tengah
2021-10-27,18.11,Bima Timur
2021-10-28,15.06,Bima Barat
2021-10-29,2.26,Bima Timur
2021-10-30,18.82,Bima Tengah
2021-10-31,6.61,Bima Tengah
2021-11-01,32.58,Bima Tengah
2021-11-02,22.81,Bima Tengah
2021-11-03,5.52,Bima Barat
2021-11-04,31.57,Bima Timur
2021-11-05,41.88,Bima Barat
2021-11-06,13.64,Bima Barat
2021-11-07,14.99,Bima Barat
2021-11-08,29.48,Bima Tengah
2021-11-09,39.81,Bima Tengah
2021-11-10,3.1,Bima Tengah
2021-11-11,6.18,Bima Timur
2021-11-12,11.91,Bima Tengah
2021-11-13,13.0,Bima Timur
2021-11-14,28.89,Bima Tengah
2021-11-15,39.95,Bima Tengah
2021-11-16,41.96,Bima Barat
2021-11-17,3.01,Bima Barat
2021-11-18,8.28,Bima Barat
2021-11-19,10.13,Bima Timur
2021-11-20,8.25,Bima Timur
2021-11-21,22.76,Bima Tengah
2021-11-22,24.76,Bima Timur
2021-11-23,16.75,Bima Tengah
2021-11-24,15.55,Bima Timur
2021-11-25,12.33,Bima Timur
2021-11-26,13.54,Bima Timur
2021-11-27,47.0,Bima Barat
2021-11-28,27.38,Bima Timur
2021-11-29,12.72,Bima Barat
2021-11-30,15.32,Bima Barat
2021-12-01,23.14,Bima Timur
2021-12-02,5.52,Bima Tengah
2021-12-03,18.58,Bima Tengah
2021-12-04,26.34,Bima Tengah
2021-12-05,24.0,Bima Timur
2021-12-06,8.42,Bima Tengah
2021-12-07,9.87,Bima Barat
2021-12-08,1.95,Bima Tengah
2021-12-09,28.31,Bima Timur
2021-12-10,60.34,Bima Tengah
2021-12-11,7.39,Bima Barat
2021-12-12,35.3,Bima Timur
2021-12-13,56.89,Bima Tengah
2021-12-14,11.35,Bima Timur
2021-12-15,15.34,Bima Timur
2021-12-16,20.16,Bima Timur
2021-12-17,23.46,Bima Tengah
2021-12-18,20.97,Bima Timur
2021-12-19,12.1,Bima Tengah
2021-12-20,26.05,Bima Barat
2021-12-21,12.34,Bima Tengah
2021-12-22,22.02,Bima Barat
2021-12-23,16.29,Bima Tengah
2021-12-24,2.66,Bima Timur
2021-12-25,38.84,Bima Tengah
2021-12-26,10.1,Bima Timur
2021-12-27,41.45,Bima Barat
2021-12-28,34.36,Bima Tengah
2021-12-29,19.72,Bima Timur
2021-12-30,24.34,Bima Barat
2021-12-31,26.46,Bima Barat
2022-01-01,14.25,Bima Tengah
2022-01-02,14.79,Bima Barat
2022-01-03,25.56,Bima Timur
2022-01-04,16.43,Bima Barat
2022-01-05,12.14,Bima Barat
2022-01-06,8.55,Bima Timur
2022-01-07,22.49,Bima Barat
2022-01-08,9.81,Bima Barat
2022-01-09,30.46,Bima Barat
2022-01-10,32.25,Bima Barat
2022-01-11,24.21,Bima Timur
2022-01-12,27.89,Bima Barat
2022-01-13,24.26,Bima Timur
2022-01-14,29.28,Bima Barat
2022-01-15,28.42,Bima Barat
2022-01-16,21.63,Bima Barat
2022-01-17,34.65,Bima Barat
2022-01-18,14.65,Bima Timur
2022-01-19,8.78,Bima Timur
2022-01-20,8.39,Bima Timur
2022-01-21,13.0,Bima Tengah
2022-01-22,2.22,Bima Barat
2022-01-23,19.57,Bima Barat
2022-01-24,26.71,Bima Timur
2022-01-25,31.94,Bima Tengah
2022-01-26,3.34,Bima Barat
2022-01-27,8.63,Bima Timur
2022-01-28,29.83,Bima Barat
2022-01-29,14.29,Bima Barat
2022-01-30,26.29,Bima Timur
2022-01-31,5.24,Bima Timur
2022-02-01,41.13,Bima Barat
2022-02-02,4.84,Bima Barat
2022-02-03,19.15,Bima Timur
2022-02-04,19.52,Bima Barat
2022-02-05,11.09,Bima Barat
2022-02-06,23.6,Bima Timur
2022-02-07,24.08,Bima Barat
2022-02-08,22.26,Bima Barat
2022-02-09,10.92,Bima Tengah
2022-02-10,9.21,Bima Timur
2022-02-11,11.92,Bima Tengah
2022-02-12,8.14,Bima Tengah
2022-02-13,35.73,Bima Tengah
2022-02-14,12.78,Bima Barat
2022-02-15,18.75,Bima Barat
2022-02-16,29.75,Bima Tengah
2022-02-17,7.79,Bima Tengah
2022-02-18,4.63,Bima Tengah
2022-02-19,8.17,Bima Barat
2022-02-20,20.29,Bima Tengah
2022-02-21,19.29,Bima Tengah
2022-02-22,22.23,Bima Timur
2022-02-23,15.37,Bima Timur
2022-02-24,0.85,Bima Barat
2022-02-25,14.99,Bima Timur
2022-02-26,32.49,Bima Timur
2022-02-27,38.26,Bima Timur
2022-02-28,17.84,Bima Barat
2022-03-01,19.35,Bima Timur
2022-03-02,25.95,Bima Barat
2022-03-03,37.54,Bima Tengah
2022-03-04,16.67,Bima Timur
2022-03-05,25.7,Bima Barat
2022-03-06,10.52,Bima Timur
2022-03-07,5.35,Bima Tengah
2022-03-08,11.47,Bima Barat
2022-03-09,43.33,Bima Barat
2022-03-10,26.06,Bima Barat
2022-03-11,5.86,Bima Tengah
2022-03-12,26.91,Bima Tengah
2022-03-13,6.31,Bima Tengah
2022-03-14,22.01,Bima Barat
2022-03-15,7.52,Bima Tengah
2022-03-16,5.54,Bima Timur
2022-03-17,48.14,Bima Tengah
2022-03-18,12.77,Bima Barat
2022-03-19,25.73,Bima Timur
2022-03-20,17.2,Bima Tengah
2022-03-21,6.79,Bima Timur
2022-03-22,13.89,Bima Timur
2022-03-23,6.84,Bima Barat
2022-03-24,71.24,Bima Timur
2022-03-25,28.99,Bima Timur
2022-03-26,16.96,Bima Barat
2022-03-27,24.77,Bima Barat
2022-03-28,27.71,Bima Barat
2022-03-29,27.76,Bima Timur
2022-03-30,26.95,Bima Timur
2022-03-31,25.53,Bima Timur
2022-04-01,18.02,Bima Barat
2022-04-02,45.73,Bima Tengah
2022-04-03,18.89,Bima Timur
2022-04-04,17.33,Bima Tengah
2022-04-05,19.01,Bima Barat
2022-04-06,20.02,Bima Timur
2022-04-07,3.36,Bima Tengah
2022-04-08,8.1,Bima Timur
2022-04-09,15.37,Bima Timur
2022-04-10,3.18,Bima Timur
2022-04-11,16.94,Bima Tengah
2022-04-12,19.83,Bima Barat
2022-04-13,5.12,Bima Timur
2022-04-14,9.91,Bima Barat
2022-04-15,39.29,Bima Barat
2022-04-16,24.95,Bima Tengah
2022-04-17,23.96,Bima Tengah
2022-04-18,36.14,Bima Barat
2022-04-19,8.24,Bima Timur
2022-04-20,5.13,Bima Tengah
2022-04-21,32.94,Bima Timur
2022-04-22,15.71,Bima Timur
2022-04-23,8.04,Bima Timur
2022-04-24,3.34,Bima Barat
2022-04-25,19.17,Bima Timur
2022-04-26,14.33,Bima Barat
2022-04-27,12.46,Bima Barat
2022-04-28,1.31,Bima Timur
2022-04-29,45.34,Bima Timur
2022-04-30,4.21,Bima Timur
2022-05-01,13.46,Bima Timur
2022-05-02,11.72,Bima Barat
2022-05-03,25.48,Bima Timur
2022-05-04,3.38,Bima Timur
2022-05-05,23.37,Bima Barat
2022-05-06,19.24,Bima Tengah
2022-05-07,9.5,Bima Tengah
2022-05-08,22.79,Bima Barat
2022-05-09,16.92,Bima Tengah
2022-05-10,52.5,Bima Barat
2022-05-11,14.32,Bima Timur
2022-05-12,7.12,Bima Timur
2022-05-13,23.54,Bima Tengah
2022-05-14,12.94,Bima Timur
2022-05-15,16.66,Bima Tengah
2022-05-16,5.17,Bima Tengah
2022-05-17,25.75,Bima Timur
2022-05-18,11.31,Bima Timur
2022-05-19,20.34,Bima Tengah
2022-05-20,61.13,Bima Timur
2022-05-21,13.68,Bima Barat
2022-05-22,28.24,Bima Timur
2022-05-23,14.43,Bima Timur
2022-05-24,9.61,Bima Barat
2022-05-25,40.21,Bima Timur
2022-05-26,2.32,Bima Timur
2022-05-27,33.35,Bima Tengah
2022-05-28,1.98,Bima Timur
2022-05-29,31.05,Bima Timur
2022-05-30,16.85,Bima Barat
2022-05-31,7.14,Bima Tengah
2022-06-01,11.94,Bima Tengah
2022-06-02,27.19,Bima Tengah
2022-06-03,57.42,Bima Timur
2022-06-04,3.53,Bima Tengah
2022-06-05,7.55,Bima Barat
2022-06-06,4.72,Bima Tengah
2022-06-07,14.34,Bima Barat
2022-06-08,31.62,Bima Tengah
2022-06-09,4.08,Bima Tengah
2022-06-10,16.51,Bima Barat
2022-06-11,30.94,Bima Tengah
2022-06-12,11.8,Bima Tengah
2022-06-13,19.37,Bima Tengah
2022-06-14,38.25,Bima Timur
2022-06-15,6.31,Bima Barat
2022-06-16,2.64,Bima Tengah
2022-06-17,21.14,Bima Barat
2022-06-18,21.57,Bima Barat
2022-06-19,11.13,Bima Barat
2022-06-20,9.38,Bima Tengah
2022-06-21,17.11,Bima Tengah
2022-06-22,6.2,Bima Barat
2022-06-23,6.21,Bima Timur
2022-06-24,27.07,Bima Barat
2022-06-25,5.8,Bima Timur
2022-06-26,2.84,Bima Barat
2022-06-27,9.36,Bima Barat
2022-06-28,11.36,Bima Barat
2022-06-29,23.37,Bima Tengah
2022-06-30,10.08,Bima Timur
2022-07-01,42.6,Bima Timur
2022-07-02,17.79,Bima Barat
2022-07-03,8.26,Bima Tengah
2022-07-04,22.67,Bima Tengah
2022-07-05,42.1,Bima Timur
2022-07-06,26.55,Bima Tengah
2022-07-07,3.82,Bima Timur
2022-07-08,12.18,Bima Timur
2022-07-09,20.11,Bima Timur
2022-07-10,25.79,Bima Tengah
2022-07-11,14.41,Bima Timur
2022-07-12,12.86,Bima Timur
2022-07-13,52.25,Bima Barat
2022-07-14,26.83,Bima Timur
2022-07-15,22.72,Bima Timur
2022-07-16,10.45,Bima Barat
2022-07-17,6.12,Bima Barat
2022-07-18,23.01,Bima Tengah
2022-07-19,28.88,Bima Timur
2022-07-20,16.59,Bima Tengah
2022-07-21,26.88,Bima Tengah
2022-07-22,27.36,Bima Barat
2022-07-23,30.21,Bima Tengah
2022-07-24,3.75,Bima Timur
2022-07-25,12.47,Bima Barat
2022-07-26,24.0,Bima Timur
2022-07-27,17.32,Bima Timur
2022-07-28,27.41,Bima Barat
2022-07-29,22.71,Bima Timur
2022-07-30,1.46,Bima Barat
2022-07-31,35.22,Bima Timur
2022-08-01,11.22,Bima Barat
2022-08-02,7.83,Bima Tengah
2022-08-03,34.44,Bima Timur
2022-08-04,25.97,Bima Barat
2022-08-05,37.72,Bima Timur
2022-08-06,20.27,Bima Timur
2022-08-07,12.34,Bima Timur
2022-08-08,18.59,Bima Barat
2022-08-09,6.6,Bima Tengah
2022-08-10,4.59,Bima Tengah
2022-08-11,9.79,Bima Tengah
2022-08-12,45.34,Bima Barat
2022-08-13,10.66,Bima Tengah
2022-08-14,2.91,Bima Barat
2022-08-15,14.73,Bima Timur
2022-08-16,10.54,Bima Timur
2022-08-17,35.65,Bima Tengah
2022-08-18,43.23,Bima Barat
2022-08-19,11.88,Bima Timur
2022-08-20,20.26,Bima Barat
2022-08-21,21.51,Bima Barat
2022-08-22,16.05,Bima Timur
2022-08-23,13.87,Bima Barat
2022-08-24,7.36,Bima Timur
2022-08-25,2.39,Bima Timur
2022-08-26,7.32,Bima Timur
2022-08-27,15.61,Bima Barat
2022-08-28,4.08,Bima Timur
2022-08-29,19.49,Bima Barat
2022-08-30,17.58,Bima Timur
2022-08-31,10.56,Bima Timur
2022-09-01,13.4,Bima Tengah
2022-09-02,4.89,Bima Tengah
2022-09-03,29.84,Bima Tengah
2022-09-04,29.49,Bima Barat
2022-09-05,5.8,Bima Barat
2022-09-06,5.97,Bima Timur
2022-09-07,7.41,Bima Timur
2022-09-08,24.85,Bima Timur
2022-09-09,21.46,Bima Timur
2022-09-10,34.17,Bima Barat
2022-09-11,36.78,Bima Timur
2022-09-12,3.68,Bima Timur
2022-09-13,24.23,Bima Tengah
2022-09-14,35.8,Bima Timur
2022-09-15,12.72,Bima Timur
2022-09-16,16.36,Bima Timur
2022-09-17,14.52,Bima Barat
2022-09-18,15.03,Bima Tengah
2022-09-19,29.77,Bima Timur
2022-09-20,50.99,Bima Timur
2022-09-21,41.62,Bima Tengah
2022-09-22,10.98,Bima Timur
2022-09-23,20.3,Bima Barat
2022-09-24,8.46,Bima Timur
2022-09-25,9.25,Bima Barat
2022-09-26,15.81,Bima Barat
2022-09-27,9.03,Bima Timur
2022-09-28,10.24,Bima Tengah
2022-09-29,19.95,Bima Barat
2022-09-30,23.99,Bima Tengah
2022-10-01,23.53,Bima Timur
2022-10-02,23.7,Bima Barat
2022-10-03,5.25,Bima Timur
2022-10-04,8.63,Bima Tengah
2022-10-05,17.16,Bima Timur
2022-10-06,34.71,Bima Timur
2022-10-07,69.6,Bima Barat
2022-10-08,20.9,Bima Timur
2022-10-09,27.83,Bima Timur
2022-10-10,4.67,Bima Timur
2022-10-11,27.31,Bima Barat
2022-10-12,57.89,Bima Tengah
2022-10-13,8.6,Bima Tengah
2022-10-14,10.53,Bima Timur
2022-10-15,30.41,Bima Barat
2022-10-16,17.0,Bima Timur
2022-10-17,2.14,Bima Tengah
2022-10-18,11.08,Bima Barat
2022-10-19,43.11,Bima Tengah
2022-10-20,13.32,Bima Tengah
2022-10-21,13.31,Bima Barat
2022-10-22,29.09,Bima Barat
2022-10-23,21.45,Bima Timur
2022-10-24,12.74,Bima Timur
2022-10-25,9.95,Bima Tengah
2022-10-26,91.09,Bima Barat
2022-10-27,38.45,Bima Barat
2022-10-28,23.69,Bima Timur
2022-10-29,24.78,Bima Tengah
2022-10-30,15.1,Bima Tengah
2022-10-31,21.27,Bima Timur
2022-11-01,13.87,Bima Barat
2022-11-02,7.91,Bima Timur
2022-11-03,21.88,Bima Timur
2022-11-04,12.94,Bima Timur
2022-11-05,22.7,Bima Timur
2022-11-06,25.79,Bima Barat
2022-11-07,23.56,Bima Timur
2022-11-08,7.34,Bima Barat
2022-11-09,11.84,Bima Timur
2022-11-10,13.14,Bima Tengah
2022-11-11,32.71,Bima Barat
2022-11-12,31.56,Bima Tengah
2022-11-13,9.08,Bima Timur
2022-11-14,5.13,Bima Timur
2022-11-15,71.73,Bima Timur
2022-11-16,22.9,Bima Barat
2022-11-17,4.46,Bima Tengah
2022-11-18,10.39,Bima Barat
2022-11-19,33.64,Bima Barat
2022-11-20,60.78,Bima Timur
2022-11-21,54.37,Bima Tengah
2022-11-22,22.22,Bima Timur
2022-11-23,16.71,Bima Barat
2022-11-24,6.7,Bima Timur
2022-11-25,17.8,Bima Tengah
2022-11-26,7.57,Bima Timur
2022-11-27,11.93,Bima Tengah
2022-11-28,30.39,Bima Tengah
2022-11-29,13.82,Bima Timur
2022-11-30,13.09,Bima Barat
2022-12-01,16.03,Bima Timur
2022-12-02,78.56,Bima Barat
2022-12-03,6.04,Bima Barat
2022-12-04,20.56,Bima Timur
2022-12-05,51.24,Bima Barat
2022-12-06,15.99,Bima Barat
2022-12-07,37.98,Bima Timur
2022-12-08,4.78,Bima Timur
2022-12-09,14.18,Bima Timur
2022-12-10,8.32,Bima Barat
2022-12-11,15.86,Bima Tengah
2022-12-12,16.12,Bima Barat
2022-12-13,17.43,Bima Tengah
2022-12-14,30.19,Bima Timur
2022-12-15,1.23,Bima Tengah
2022-12-16,10.0,Bima Timur
2022-12-17,19.55,Bima Timur
2022-12-18,2.28,Bima Tengah
2022-12-19,26.02,Bima Timur
2022-12-20,9.84,Bima Tengah
2022-12-21,14.4,Bima Timur
2022-12-22,31.14,Bima Barat
2022-12-23,39.14,Bima Barat
2022-12-24,26.57,Bima Timur
2022-12-25,5.87,Bima Timur
2022-12-26,25.65,Bima Tengah
2022-12-27,26.87,Bima Barat
2022-12-28,23.29,Bima Tengah
2022-12-29,43.41,Bima Timur
2022-12-30,17.77,Bima Timur
2022-12-31,42.31,Bima Tengah
2023-01-01,42.14,Bima Timur
2023-01-02,27.4,Bima Barat
2023-01-03,20.8,Bima Tengah
2023-01-04,23.39,Bima Barat
2023-01-05,49.66,Bima Barat
2023-01-06,34.68,Bima Barat
2023-01-07,6.57,Bima Tengah
2023-01-08,22.35,Bima Timur
2023-01-09,7.94,Bima Barat
2023-01-10,9.59,Bima Barat
2023-01-11,12.33,Bima Barat
2023-01-12,4.31,Bima Timur
2023-01-13,7.48,Bima Timur
2023-01-14,44.98,Bima Tengah
2023-01-15,9.53,Bima Timur
2023-01-16,30.31,Bima Tengah
2023-01-17,18.98,Bima Tengah
2023-01-18,24.88,Bima Tengah
2023-01-19,25.63,Bima Tengah
2023-01-20,7.18,Bima Tengah
2023-01-21,30.19,Bima Barat
2023-01-22,5.28,Bima Timur
2023-01-23,9.19,Bima Barat
2023-01-24,25.37,Bima Tengah
2023-01-25,6.74,Bima Timur
2023-01-26,2.0,Bima Barat
2023-01-27,21.6,Bima Barat
2023-01-28,3.53,Bima Tengah
2023-01-29,27.06,Bima Barat
2023-01-30,13.06,Bima Barat
2023-01-31,21.38,Bima Barat
2023-02-01,21.09,Bima Barat
2023-02-02,28.47,Bima Barat
2023-02-03,25.89,Bima Tengah
2023-02-04,6.69,Bima Tengah
2023-02-05,13.71,Bima Barat
2023-02-06,21.36,Bima Tengah
2023-02-07,42.82,Bima Tengah
2023-02-08,26.06,Bima Timur
2023-02-09,40.38,Bima Barat
2023-02-10,22.18,Bima Tengah
2023-02-11,35.09,Bima Tengah
2023-02-12,20.1,Bima Barat
2023-02-13,34.13,Bima Timur
2023-02-14,12.53,Bima Barat
2023-02-15,46.09,Bima Timur
2023-02-16,23.99,Bima Barat
2023-02-17,4.34,Bima Barat
2023-02-18,21.88,Bima Barat
2023-02-19,26.12,Bima Barat
2023-02-20,30.91,Bima Timur
2023-02-21,56.76,Bima Timur
2023-02-22,10.95,Bima Tengah
2023-02-23,57.01,Bima Barat
2023-02-24,16.71,Bima Timur
2023-02-25,8.8,Bima Timur
2023-02-26,11.15,Bima Timur
2023-02-27,25.04,Bima Barat
2023-02-28,7.69,Bima Tengah
2023-03-01,12.7,Bima Timur
2023-03-02,21.49,Bima Barat
2023-03-03,45.86,Bima Timur
2023-03-04,30.3,Bima Timur
